Feature,Ranking,target
Sin_s,1,GV1
t,1,GV1
ln_t,1,GV1
h,1,GV1
h_MA_007,1,GV1
MB4,1,GV1
GV51,1,GV1
GV3,1,GV1
P_RS_090,1,GV1
P_RS_180,1,GV1
TA,1,GV1
TA_MA_001,1,GV1
TA_MA_030,1,GV1
h_MA_060,1,GV1
h_MA_030,1,GV1
h_MA_014,1,GV1
TA_MA_060,1,GV1
TA_MA_007,1,GV1
TW_MA_030,1,GV1
TW_MA_007,1,GV1
Q_RS_030,2,GV1
Cos_s,3,GV1
h_RC_030,4,GV1
P_RS_060,5,GV1
Q_RS_007,6,GV1
Sin_2s,7,GV1
MB18,8,GV1
Q,9,GV1
year,10,GV1
h_RC_007,11,GV1
MB10,12,GV1
Cos_2s,13,GV1
TW,14,GV1
P_RS_030,15,GV1
P_RS_007,16,GV1
P,17,GV1
MB8,18,GV1
month,19,GV1
Sin_s,1,GV3
Cos_s,1,GV3
Sin_2s,1,GV3
Cos_2s,1,GV3
t,1,GV3
MB4,1,GV3
GV51,1,GV3
GV1,1,GV3
MB10,1,GV3
h,1,GV3
h_MA_007,1,GV3
MB8,1,GV3
h_RC_007,1,GV3
h_MA_060,1,GV3
h_MA_030,1,GV3
h_MA_014,1,GV3
TA_MA_001,1,GV3
P_RS_090,1,GV3
P_RS_180,1,GV3
TA,1,GV3
h_RC_030,1,GV3
P_RS_007,1,GV3
P_RS_030,1,GV3
P_RS_060,1,GV3
TA_MA_030,1,GV3
TA_MA_007,1,GV3
TA_MA_060,1,GV3
Q_RS_007,1,GV3
Q,1,GV3
TW_MA_030,1,GV3
TW_MA_007,1,GV3
TW,1,GV3
Q_RS_030,1,GV3
MB18,2,GV3
ln_t,3,GV3
month,4,GV3
P,5,GV3
year,6,GV3
Sin_s,1,GV51
Cos_s,1,GV51
Cos_2s,1,GV51
t,1,GV51
month,1,GV51
ln_t,1,GV51
year,1,GV51
GV1,1,GV51
h_MA_007,1,GV51
GV3,1,GV51
MB4,1,GV51
MB18,1,GV51
h,1,GV51
h_MA_060,1,GV51
h_MA_030,1,GV51
h_MA_014,1,GV51
TA_MA_001,1,GV51
P_RS_090,1,GV51
P_RS_180,1,GV51
h_RC_007,1,GV51
h_RC_030,1,GV51
P_RS_007,1,GV51
P_RS_030,1,GV51
P_RS_060,1,GV51
TA_MA_060,1,GV51
TA_MA_007,1,GV51
TA,1,GV51
Q_RS_030,1,GV51
Q_RS_007,1,GV51
TW_MA_030,1,GV51
TW_MA_007,1,GV51
TW,1,GV51
Sin_2s,2,GV51
Q,3,GV51
TA_MA_030,4,GV51
MB8,5,GV51
MB10,6,GV51
P,7,GV51
Sin_s,1,MB4
Cos_s,1,MB4
t,1,MB4
h_MA_007,1,MB4
MB10,1,MB4
MB18,1,MB4
h,1,MB4
MB8,1,MB4
P_RS_090,1,MB4
P_RS_030,1,MB4
P_RS_007,1,MB4
h_RC_030,1,MB4
h_RC_007,1,MB4
h_MA_060,1,MB4
h_MA_030,1,MB4
h_MA_014,1,MB4
TA_MA_030,1,MB4
TA,1,MB4
TA_MA_007,1,MB4
TA_MA_001,1,MB4
Q_RS_007,1,MB4
Q_RS_030,1,MB4
Q,1,MB4
P_RS_060,2,MB4
P_RS_180,3,MB4
TW_MA_030,4,MB4
TW_MA_007,5,MB4
Sin_2s,6,MB4
TA_MA_060,7,MB4
TW,8,MB4
GV3,9,MB4
GV51,10,MB4
Cos_2s,11,MB4
ln_t,12,MB4
P,13,MB4
GV1,14,MB4
month,15,MB4
year,16,MB4
month,1,MB8
t,1,MB8
MB4,1,MB8
h_MA_014,1,MB8
h_MA_030,1,MB8
h_RC_030,1,MB8
TA_MA_060,2,MB8
h_MA_007,3,MB8
Q,4,MB8
ln_t,5,MB8
h,6,MB8
TA_MA_030,7,MB8
TW_MA_030,8,MB8
MB10,9,MB8
h_MA_060,10,MB8
P_RS_090,11,MB8
Sin_s,12,MB8
GV1,13,MB8
TW,14,MB8
Q_RS_030,15,MB8
TW_MA_007,16,MB8
P_RS_180,17,MB8
Q_RS_007,18,MB8
TA_MA_007,19,MB8
TA_MA_001,20,MB8
TA,21,MB8
P,22,MB8
year,23,MB8
P_RS_060,24,MB8
P_RS_030,25,MB8
P_RS_007,26,MB8
h_RC_007,27,MB8
GV51,28,MB8
GV3,29,MB8
MB18,30,MB8
Cos_2s,31,MB8
Sin_2s,32,MB8
Cos_s,33,MB8
MB8,1,MB10
h_MA_030,1,MB10
TA_MA_001,1,MB10
Q_RS_030,1,MB10
h_MA_007,2,MB10
h_MA_014,3,MB10
TA,4,MB10
GV3,5,MB10
h_MA_060,6,MB10
P_RS_180,7,MB10
h_RC_030,8,MB10
h,9,MB10
Q,10,MB10
MB4,11,MB10
GV1,12,MB10
TA_MA_007,13,MB10
t,14,MB10
GV51,15,MB10
TW_MA_030,16,MB10
ln_t,17,MB10
TA_MA_060,18,MB10
P_RS_030,19,MB10
P_RS_060,20,MB10
Cos_s,21,MB10
Q_RS_007,22,MB10
MB18,23,MB10
P_RS_090,24,MB10
TW_MA_007,25,MB10
TA_MA_030,26,MB10
P_RS_007,27,MB10
month,28,MB10
h_RC_007,29,MB10
Cos_2s,30,MB10
TW,31,MB10
P,32,MB10
year,33,MB10
Sin_s,34,MB10
Sin_2s,35,MB10
Sin_s,1,MB18
Cos_s,1,MB18
t,1,MB18
MB4,1,MB18
h_MA_007,1,MB18
h,1,MB18
TA_MA_001,1,MB18
TA_MA_030,1,MB18
P_RS_060,1,MB18
P_RS_090,1,MB18
P_RS_180,1,MB18
P_RS_030,1,MB18
h_RC_030,1,MB18
h_MA_060,1,MB18
h_MA_030,1,MB18
