Feature,Ranking,target
h_MA_007,1,GV1
h,1,GV1
GV51,1,GV1
GV3,1,GV1
h_MA_014,1,GV1
P_RS_090,2,GV1
TA_MA_060,3,GV1
P_RS_060,4,GV1
t,5,GV1
TA,6,GV1
P_RS_180,7,GV1
TA_MA_001,8,GV1
TA_MA_030,9,GV1
h_MA_060,10,GV1
h_MA_030,11,GV1
TW_MA_030,12,GV1
TW,13,GV1
MB4,14,GV1
Sin_s,15,GV1
h_RC_030,16,GV1
MB10,17,GV1
P_RS_030,18,GV1
TA_MA_007,19,GV1
MB8,20,GV1
Q_RS_007,21,GV1
Q_RS_030,22,GV1
Cos_s,23,GV1
MB18,24,GV1
Q,25,GV1
h_RC_007,26,GV1
Sin_2s,27,GV1
ln_t,28,GV1
TW_MA_007,29,GV1
P,30,GV1
P_RS_007,31,GV1
month,32,GV1
year,33,GV1
Cos_2s,34,GV1
GV51,1,GV3
GV1,1,GV3
h_MA_030,1,GV3
h_MA_014,2,GV3
Cos_s,3,GV3
h_MA_007,4,GV3
MB18,5,GV3
Q_RS_030,6,GV3
P_RS_090,7,GV3
h_MA_060,8,GV3
Sin_2s,9,GV3
h,10,GV3
Q_RS_007,11,GV3
MB4,12,GV3
Sin_s,13,GV3
TA_MA_007,14,GV3
Q,15,GV3
h_RC_030,16,GV3
P_RS_060,17,GV3
h_RC_007,18,GV3
P_RS_180,19,GV3
MB8,20,GV3
t,21,GV3
Cos_2s,22,GV3
TA,23,GV3
P_RS_030,24,GV3
TW_MA_007,25,GV3
ln_t,26,GV3
TA_MA_060,27,GV3
TA_MA_001,28,GV3
TW_MA_030,29,GV3
P_RS_007,30,GV3
TW,31,GV3
TA_MA_030,32,GV3
P,33,GV3
MB10,34,GV3
month,35,GV3
year,36,GV3
GV3,1,GV51
GV1,1,GV51
h_MA_030,1,GV51
h_MA_014,2,GV51
Sin_s,3,GV51
P_RS_090,4,GV51
h_MA_007,5,GV51
h,6,GV51
P_RS_180,7,GV51
month,8,GV51
t,9,GV51
h_MA_060,10,GV51
ln_t,11,GV51
MB18,12,GV51
Cos_s,13,GV51
MB8,14,GV51
h_RC_030,15,GV51
P_RS_030,16,GV51
TA_MA_001,17,GV51
h_RC_007,18,GV51
Q,19,GV51
TA_MA_060,20,GV51
P_RS_007,21,GV51
TA,22,GV51
Q_RS_030,23,GV51
Q_RS_007,24,GV51
P,25,GV51
TW_MA_030,26,GV51
TW_MA_007,27,GV51
TW,28,GV51
Sin_2s,29,GV51
TA_MA_030,30,GV51
MB4,31,GV51
TA_MA_007,32,GV51
MB10,33,GV51
year,34,GV51
Cos_2s,35,GV51
P_RS_060,36,GV51
year,1,MB4
month,1,MB4
ln_t,1,MB4
t,1,MB4
MB8,1,MB4
GV51,1,MB4
GV3,1,MB4
GV1,1,MB4
MB18,1,MB4
h,1,MB4
h_MA_007,1,MB4
h_RC_030,1,MB4
h_RC_007,1,MB4
h_MA_060,1,MB4
h_MA_030,1,MB4
h_MA_014,1,MB4
P_RS_180,1,MB4
P_RS_090,1,MB4
Q_RS_030,1,MB4
TW_MA_030,1,MB4
Sin_s,2,MB4
TA_MA_030,3,MB4
P_RS_030,4,MB4
TA_MA_060,5,MB4
P_RS_060,6,MB4
TA,7,MB4
TA_MA_001,8,MB4
MB10,9,MB4
Sin_2s,10,MB4
TA_MA_007,11,MB4
Cos_s,12,MB4
Q_RS_007,13,MB4
Q,14,MB4
P_RS_007,15,MB4
TW,16,MB4
Cos_2s,17,MB4
P,18,MB4
TW_MA_007,19,MB4
Sin_s,1,MB8
Cos_s,1,MB8
Sin_2s,1,MB8
Cos_2s,1,MB8
t,1,MB8
ln_t,1,MB8
month,1,MB8
year,1,MB8
MB4,1,MB8
GV51,1,MB8
MB18,1,MB8
MB10,1,MB8
h,1,MB8
h_MA_007,1,MB8
h_MA_030,1,MB8
h_MA_014,1,MB8
P_RS_060,1,MB8
P_RS_090,1,MB8
h_MA_060,1,MB8
h_RC_007,1,MB8
h_RC_030,1,MB8
P,1,MB8
P_RS_007,1,MB8
P_RS_030,1,MB8
TA_MA_001,1,MB8
TA_MA_007,1,MB8
P_RS_180,1,MB8
TA,1,MB8
TA_MA_030,1,MB8
TA_MA_060,1,MB8
TW_MA_007,1,MB8
TW,1,MB8
Q_RS_007,1,MB8
Q_RS_030,1,MB8
TW_MA_030,1,MB8
Q,1,MB8
GV1,2,MB8
GV3,3,MB8
Sin_s,1,MB10
Cos_s,1,MB10
ln_t,1,MB10
t,1,MB10
year,1,MB10
GV51,1,MB10
GV3,1,MB10
GV1,1,MB10
MB18,1,MB10
MB8,1,MB10
TA_MA_030,1,MB10
TA_MA_060,1,MB10
Q,1,MB10
TW,1,MB10
TA,2,MB10
h_MA_014,3,MB10
h_RC_030,4,MB10
P_RS_030,5,MB10
P_RS_090,6,MB10
Q_RS_030,7,MB10
h_MA_030,8,MB10
TA_MA_001,9,MB10
TA_MA_007,10,MB10
Cos_2s,11,MB10
h_MA_060,12,MB10
MB4,13,MB10
h_MA_007,14,MB10
P_RS_060,15,MB10
Q_RS_007,16,MB10
P_RS_180,17,MB10
h_RC_007,18,MB10
TW_MA_007,19,MB10
TW_MA_030,20,MB10
Sin_2s,21,MB10
month,22,MB10
P_RS_007,23,MB10
h,24,MB10
P,25,MB10
Cos_s,1,MB18
month,1,MB18
ln_t,1,MB18
t,1,MB18
MB4,1,MB18
GV51,1,MB18
GV3,1,MB18
GV1,1,MB18
MB8,1,MB18
MB10,1,MB18
P_RS_030,1,MB18
h_RC_030,1,MB18
h_RC_007,1,MB18
h_MA_060,1,MB18
h_MA_030,1,MB18
h_MA_014,1,MB18
TA_MA_030,1,MB18
P_RS_180,1,MB18
TA_MA_060,1,MB18
TW_MA_030,1,MB18
P_RS_090,2,MB18
Cos_2s,3,MB18
Sin_s,4,MB18
TA_MA_007,5,MB18
Q_RS_007,6,MB18
P_RS_007,7,MB18
Q_RS_030,8,MB18
P_RS_060,9,MB18
Sin_2s,10,MB18
h,11,MB18
TA_MA_001,12,MB18
P,13,MB18
year,14,MB18
TA,15,MB18
Q,16,MB18
TW,17,MB18
h_MA_007,18,MB18
TW_MA_007,19,MB18
